# Ecosystem Simulation Data Export
# Generated: 2025-06-14 20:43:01
# Duration: 870 ticks (30 data points)
# Data recorded every 5 seconds (30 ticks)
# 
# Simulation parameters:
# - Grid size: 80x60
# - Max rabbits: 50
# - Max foxes: 15
# - Grass growth rate: 2 per tick
# - Grass spawn chance: 0.010 per tick
# 
Tick,Rabbits,Foxes,Grass,Timestamp
0,10,6,30,20:40:31
30,13,8,36,20:40:36
60,13,8,35,20:40:41
90,13,8,35,20:40:46
120,13,8,37,20:40:51
150,13,8,38,20:40:56
180,13,8,39,20:41:01
210,13,8,40,20:41:06
240,12,8,41,20:41:11
270,11,8,43,20:41:16
300,11,8,42,20:41:21
330,11,8,45,20:41:26
360,11,8,45,20:41:31
390,12,8,50,20:41:36
420,12,8,53,20:41:41
450,12,8,57,20:41:46
480,12,8,59,20:41:51
510,12,8,63,20:41:56
540,11,8,63,20:42:01
570,11,8,65,20:42:06
600,10,8,64,20:42:11
630,10,8,67,20:42:16
660,10,8,71,20:42:21
690,10,8,73,20:42:26
720,8,8,73,20:42:31
750,8,9,77,20:42:36
780,8,9,82,20:42:41
810,7,9,84,20:42:46
840,7,9,89,20:42:51
870,6,9,91,20:42:56
